잔여좌석,전체좌석,사용중,년,월,일,시간,요일코드,열람실 ID,Exam_Flag,Holiday_Flag,Post_Holiday_Flag,EMA_Short,EMA_Periodic
373,375,2,2025,10,5,7,6,1,0,1,0,0.005333333333333333,0.005333333333333333
372,375,3,2025,10,5,7,6,1,0,1,0,0.008,0.008
371,375,4,2025,10,5,8,6,1,0,1,0,0.010666666666666666,0.010666666666666666
369,375,6,2025,10,5,8,6,1,0,1,0,0.016,0.016
351,375,24,2025,10,5,10,6,1,0,1,0,0.064,0.064
341,375,34,2025,10,5,11,6,1,0,1,0,0.09066666666666667,0.09066666666666667
338,375,37,2025,10,5,11,6,1,0,1,0,0.09866666666666667,0.09866666666666667
335,375,40,2025,10,5,11,6,1,0,1,0,0.10666666666666667,0.10666666666666667
323,375,52,2025,10,5,12,6,1,0,1,0,0.13866666666666666,0.13866666666666666
309,375,66,2025,10,5,13,6,1,0,1,0,0.176,0.176
298,375,77,2025,10,5,13,6,1,0,1,0,0.20533333333333334,0.20533333333333334
284,375,91,2025,10,5,14,6,1,0,1,0,0.24266666666666667,0.24266666666666667
